x,y,z,rx,ry,rz,q1,q2,q3,q4,q5,q6,vx,vy,vz,wx,wy,wz,vx_t,vy_t,vz_t,wx_t,wy_t,wz_t,print
-0.3264538561123682,-0.44545228949394833,1.0615957707778731,-0.7269537306280869,-1.7541440932505263,1.7754248268604083,0.09078911691904068,-2.018540684376852,1.615809440612793,-2.750085179005758,-0.8781665007220667,0.01169735286384821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
-0.32646144553423867,-0.4454574010699028,1.061590121531663,-0.7269676551336719,-1.7541692109659084,1.7754288580339685,0.09080110490322113,-2.018528763447897,1.615809440612793,-2.750073258076803,-0.8781665007220667,0.01169735286384821,0.0,0.0,0.0,0.0,0.0,0.0,0.0009227608835124189,0.00043926874995537437,0.0003149799206307751,-0.00016647284081037033,0.001856203856377202,-0.0004760586281424207,False
-0.3264546519786823,-0.44544888942669064,1.0616131844038639,-0.7269688681057219,-1.7541213678542527,1.775393742295634,0.09078911691904068,-2.018540684376852,1.6157736778259277,-2.750049416218893,-0.8782022635089319,0.011685368604958057,0.0,0.0,0.0,0.0,0.0,0.0,0.001660986208106509,0.000790636616051696,0.0005669196693507526,-0.0002995887674241929,0.003341172627283703,-0.0008569056794780328,False
-0.32647288178502637,-0.4454285255905651,1.061607963791384,-0.7270827237448185,-1.7540694876406722,1.7753860737243954,0.09074117988348007,-2.01856500307192,1.615809440612793,-2.750061337147848,-0.8782261053668421,0.011745289899408817,-0.001400721593238221,0.0010266464513396262,0.0,0.0,0.0,-0.003144660731777549,0.001149590689637792,0.0005471020401789746,0.00039227474166511985,-0.00020722105300344232,0.002312415628522047,-0.0005930593008157603,False
-0.32645930852328875,-0.44544988621179105,1.0615902014264906,-0.7270182746236595,-1.7541534173609252,1.7754112372647233,0.09078911691904068,-2.018552605305807,1.615821361541748,-2.750049416218893,-0.8781903425799769,0.011709337122738361,0.000199299206226487,-0.00014606150561009406,0.0,0.0,0.0,0.0004474110610317439,-5.3079716313407716e-05,-5.5801378570762984e-05,-9.595696707757039e-07,-3.6366280875852244e-08,-3.598410853570102e-08,-1.1389209871946008e-07,False
-0.32669265545610515,-0.4457101535677853,1.0616098178605937,-0.727017888914738,-1.7540694990848305,1.775413075409466,0.09173587709665298,-2.0179293791400355,1.6154980659484863,-2.7504094282733362,-0.8791845480548304,0.011721321381628513,-0.01581645093918209,-0.018788758071887634,0.00023865921627252155,-0.0012301293625293864,0.0020094291504527194,0.0015510443470575785,-0.02130877970014541,-0.022401387302016268,-0.0003852179351556033,-1.4599193962412443e-05,-1.4445771141504467e-05,-4.572182763706342e-05,False
-0.3268914469891038,-0.4458864492465412,1.0615665939255794,-0.7271048111408152,-1.754124178733274,1.7754084789525453,0.09234669804573059,-2.0174978415118616,1.615354061126709,-2.750613514577047,-0.8797958532916468,0.011721321381628513,-0.024778506557592613,-0.026446181009501885,-0.0019116587806965197,-0.0008567946533475913,-0.005409301719394243,0.0049265970528374475,-0.0286198020983968,-0.030087282346367566,-0.0005173858485672585,-1.9608163761638316e-05,-1.9402101698463414e-05,-6.140894394499882e-05,False
-0.3270700846357005,-0.4461326579403062,1.0615924146294053,-0.7270483488902797,-1.7541079508168445,1.7754356369775142,0.09322154521942139,-2.0169461409198206,1.6150422096252441,-2.7508891264544886,-0.8806465307818812,0.011709337122738361,-0.032113113805217565,-0.03541486274629989,-0.0015328747598174581,-0.0012708299839087462,-0.006078932028326787,0.0054809723196547755,-0.03714375085411385,-0.039048296541706745,-0.0006714809202275117,-2.5448140653367172e-05,-2.5180706281344688e-05,-7.969861235414984e-05,False
-0.327343483753401,-0.44645605996319515,1.0615862586271128,-0.7270454172084471,-1.7541568968663308,1.7754700274043627,0.09434731304645538,-2.016202751790182,1.614682674407959,-2.751237217579977,-0.8817246595965784,0.01169735286384821,-0.04243793080874864,-0.0460844383722013,-0.003505084381053408,-0.001316601134193023,-0.010723890637713465,0.009112455648750822,-0.046963325491798685,-0.049371369829604245,-0.0008489981835926439,-3.217578421091079e-05,-3.183764901190916e-05,-0.00010076827958517915,False
-0.32777315833912823,-0.4468658626633975,1.0615596052362843,-0.7271766285625407,-1.754238727412563,1.775487973982454,0.09576144814491272,-2.015183750783102,1.6142148971557617,-2.751669232045309,-0.8831265608416956,0.011709337122738361,-0.05375203054571845,-0.057138808932984175,-0.003037303881101641,-0.0018671500579993399,-0.010967746175873715,0.008838027076586652,-0.0581612255360111,-0.06114344215126807,-0.0010514326720692784,-3.9847754001724744e-05,-3.942899400484522e-05,-0.00012479539235022628,False
